=== PROBE P6 ===

Agents: A1=merchant, A2=family, A3=laborer, A4=laborer, A5=laborer, A6=authority, A7=enforcer, A8=enforcer, A9=crowd, A10=crowd
Locations: L1, L2

--- Event log (selected ticks) ---
  t=  4  public_denial          :A5
  t=  5  public_accusation      L1
  t=  7  public_denial          :A3
  t=  8  public_denial          :A5
  t=  8  public_denial          :A9
  t=  9  public_denial          :A5
  t=  9  public_denial          :A8
  t=  9  public_denial          :A9
  t= 10  public_denial          :A3
  t= 10  public_denial          :A9
  t= 11  public_denial          :A3
  t= 11  public_denial          :A9
  t= 12  public_denial          :A3
  t= 12  public_denial          :A5
  t= 13  public_denial          :A3
  t= 13  public_denial          :A9
  t= 14  public_denial          :A3
  t= 14  public_denial          :A9
  t= 15  guard_approaches       L1
  t= 15  public_denial          :A3
  t= 16  public_denial          :A5
  t= 17  public_denial          :A5
  t= 17  public_denial          :A8
  t= 18  public_denial          :A5
  t= 18  public_denial          :A8
  t= 18  public_denial          :A9
  t= 19  public_denial          :A3
  t= 20  public_denial          :A3
  t= 20  public_denial          :A5
  t= 20  public_denial          :A8
  t= 20  public_denial          :A9
  t= 21  public_denial          :A3
  t= 21  public_denial          :A5
  t= 22  public_confession      :A3
  t= 22  forgiveness_emitted    :A3
  t= 22  public_denial          :A8
  t= 22  public_denial          :A9
  t= 23  public_confession      :A5
  t= 23  forgiveness_emitted    :A5
  t= 23  public_denial          :A8
  t= 23  public_denial          :A9
  t= 23  public_confession      :A11
  t= 23  forgiveness_emitted    :A11
  t= 24  public_denial          :A3
  t= 24  visible_grief          :A5
  t= 24  public_confession      :A8
  t= 24  forgiveness_emitted    :A8
  t= 24  public_confession      :A9
  t= 24  forgiveness_emitted    :A9
  t= 24  visible_grief          :A10
  t= 26  public_denial          :A5
  t= 26  public_denial          :A9
  t= 27  visible_grief          :A2
  t= 27  public_confession      :A4
  t= 27  forgiveness_emitted    :A4
  t= 27  public_denial          :A5
  t= 28  public_confession      :A2
  t= 28  forgiveness_emitted    :A2
  t= 28  visible_grief          :A3
  t= 28  visible_grief          :A5
  t= 28  public_confession      :A9
  t= 28  forgiveness_emitted    :A9
  t= 29  visible_grief          :A3
  t= 29  visible_grief          :A5
  t= 29  public_denial          :A9
  t= 29  visible_grief          :A11
  t= 30  public_confession      :A3
  t= 30  forgiveness_emitted    :A3
  t= 30  public_confession      :A5
  t= 30  forgiveness_emitted    :A5
  t= 30  public_denial          :A8
  t= 30  public_confession      :A9
  t= 30  forgiveness_emitted    :A9
  t= 31  public_confession      :A3
  t= 31  forgiveness_emitted    :A3
  t= 31  visible_grief          :A5
  t= 32  public_denial          :A3
  t= 32  public_denial          :A5
  t= 32  public_denial          :A8
  t= 33  public_confession      :A3
  t= 33  forgiveness_emitted    :A3
  t= 33  public_denial          :A5
  t= 33  visible_grief          :A8
  t= 34  visible_grief          :A3
  t= 34  public_confession      :A5
  t= 34  forgiveness_emitted    :A5
  t= 34  public_denial          :A8
  t= 34  public_confession      :A9
  t= 34  forgiveness_emitted    :A9
  t= 35  public_confession      :A3
  t= 35  forgiveness_emitted    :A3
  t= 35  visible_grief          :A4
  t= 35  public_denial          :A8
  t= 35  visible_grief          :A9
  t= 36  public_confession      :A3
  t= 36  forgiveness_emitted    :A3
  t= 36  public_confession      :A5
  t= 36  forgiveness_emitted    :A5
  t= 36  public_denial          :A8
  t= 36  public_denial          :A9
  t= 36  visible_grief          :A11
  t= 37  public_denial          :A5
  t= 37  public_confession      :A8
  t= 37  forgiveness_emitted    :A8
  t= 37  public_denial          :A9
  t= 38  public_confession      :A4
  t= 38  forgiveness_emitted    :A4
  t= 38  public_denial          :A8
  t= 39  public_confession      :A2
  t= 39  forgiveness_emitted    :A2
  t= 39  public_confession      :A3
  t= 39  forgiveness_emitted    :A3
  t= 39  public_denial          :A5
  t= 39  public_confession      :A8
  t= 39  forgiveness_emitted    :A8
  t= 39  public_denial          :A9
  t= 39  visible_grief          :A11
  t= 40  public_denial          :A3
  t= 40  public_confession      :A5
  t= 40  forgiveness_emitted    :A5
  t= 40  public_denial          :A8
  t= 40  public_denial          :A9
  t= 40  public_confession      :A11
  t= 40  forgiveness_emitted    :A11
  t= 41  public_confession      :A4
  t= 41  forgiveness_emitted    :A4
  t= 41  public_denial          :A9
  t= 42  public_denial          :A3
  t= 42  public_denial          :A5
  t= 42  public_denial          :A8
  t= 42  public_denial          :A9
  t= 43  visible_grief          :A3
  t= 43  public_confession      :A8
  t= 43  forgiveness_emitted    :A8
  t= 43  public_denial          :A9
  t= 44  public_denial          :A5
  t= 44  public_confession      :A8
  t= 44  forgiveness_emitted    :A8
  t= 44  public_confession      :A9
  t= 44  forgiveness_emitted    :A9
  t= 45  public_confession      :A3
  t= 45  forgiveness_emitted    :A3
  t= 45  public_denial          :A5
  t= 45  public_denial          :A8
  t= 45  public_confession      :A9
  t= 45  forgiveness_emitted    :A9
  t= 45  public_denial          :A11
  t= 46  public_confession      :A2
  t= 46  forgiveness_emitted    :A2
  t= 46  visible_grief          :A4
  t= 46  visible_grief          :A5
  t= 46  visible_grief          :A9
  t= 47  public_confession      :A3
  t= 47  forgiveness_emitted    :A3
  t= 47  public_confession      :A9
  t= 47  forgiveness_emitted    :A9
  t= 47  public_denial          :A11
  t= 48  public_denial          :A4
  t= 48  public_confession      :A5
  t= 48  forgiveness_emitted    :A5
  t= 48  public_denial          :A8
  t= 48  visible_grief          :A9
  t= 49  public_confession      :A2
  t= 49  forgiveness_emitted    :A2
  t= 49  public_denial          :A3
  t= 49  public_denial          :A5
  t= 49  public_denial          :A8
  t= 49  public_confession      :A9
  t= 49  forgiveness_emitted    :A9
  t= 49  public_denial          :A10
  t= 50  public_denial          :A3
  t= 50  public_denial          :A4
  t= 50  public_denial          :A5
  t= 50  visible_grief          :A8
  t= 50  public_denial          :A9
  t= 50  public_confession      :A11
  t= 50  forgiveness_emitted    :A11
  t= 51  public_confession      :A2
  t= 51  forgiveness_emitted    :A2
  t= 51  public_confession      :A3
  t= 51  forgiveness_emitted    :A3
  t= 51  public_denial          :A4
  t= 51  public_confession      :A5
  t= 51  forgiveness_emitted    :A5
  t= 51  public_confession      :A8
  t= 51  forgiveness_emitted    :A8
  t= 51  public_confession      :A9
  t= 51  forgiveness_emitted    :A9
  t= 51  public_denial          :A10
  t= 51  public_denial          :A11
  t= 52  public_denial          :A2
  t= 52  visible_grief          :A3
  t= 52  public_confession      :A4
  t= 52  forgiveness_emitted    :A4
  t= 52  public_denial          :A5
  t= 52  public_denial          :A11
  t= 53  public_denial          :A2
  t= 53  public_denial          :A3
  t= 53  public_denial          :A4
  t= 53  public_confession      :A5
  t= 53  forgiveness_emitted    :A5
  t= 53  public_confession      :A9
  t= 53  forgiveness_emitted    :A9
  t= 53  public_denial          :A10
  t= 53  public_denial          :A11
  t= 54  public_denial          :A2
  t= 54  public_confession      :A5
  t= 54  forgiveness_emitted    :A5
  t= 54  public_confession      :A8
  t= 54  forgiveness_emitted    :A8
  t= 54  public_denial          :A9
  t= 54  public_denial          :A10
  t= 55  public_denial          :A2
  t= 55  visible_grief          :A4
  t= 55  public_denial          :A9
  t= 55  public_denial          :A10
  t= 56  public_confession      :A3
  t= 56  forgiveness_emitted    :A3
  t= 56  visible_grief          :A5
  t= 56  public_denial          :A8
  t= 57  public_denial          :A4
  t= 57  public_denial          :A5
  t= 57  public_denial          :A8
  t= 58  public_denial          :A3
  t= 58  public_confession      :A5
  t= 58  forgiveness_emitted    :A5
  t= 58  visible_grief          :A8
  t= 58  visible_grief          :A10
  t= 58  visible_grief          :A11
  t= 59  public_confession      :A2
  t= 59  forgiveness_emitted    :A2
  t= 59  public_confession      :A3
  t= 59  forgiveness_emitted    :A3
  t= 59  public_confession      :A4
  t= 59  forgiveness_emitted    :A4
  t= 59  visible_grief          :A5
  t= 59  public_confession      :A8
  t= 59  forgiveness_emitted    :A8
  t= 59  public_confession      :A9
  t= 59  forgiveness_emitted    :A9
  t= 59  public_confession      :A10
