=== PROBE P3 ===

Agents: A1=follower, A2=follower, A3=follower, A4=authority, A5=enforcer, A6=crowd, A7=crowd, A8=crowd, A9=family, A10=outsider
Locations: L1, L2

--- Event log (selected ticks) ---
  t=  3  public_accusation      L1
  t=  4  public_denial          :A4
  t=  4  public_denial          :A7
  t=  7  public_accusation      L2
  t=  7  public_denial          :A4
  t=  7  public_denial          :A5
  t=  8  public_denial          :A5
  t= 10  public_denial          :A4
  t= 10  public_denial          :A5
  t= 11  public_denial          :A4
  t= 11  public_denial          :A5
  t= 11  public_denial          :A10
  t= 12  guard_approaches       upper_room
  t= 13  public_denial          :A5
  t= 13  public_denial          :A7
  t= 14  public_denial          :A5
  t= 14  public_denial          :A7
  t= 15  public_denial          :A6
  t= 15  public_denial          :A7
  t= 15  public_denial          :A10
  t= 16  public_denial          :A5
  t= 16  public_denial          :A6
  t= 16  public_denial          :A8
  t= 17  public_denial          :A10
  t= 18  public_denial          :A6
  t= 18  public_denial          :A7
  t= 19  public_denial          :A4
  t= 19  public_denial          :A5
  t= 19  public_denial          :A6
  t= 19  public_denial          :A8
  t= 20  public_denial          :A4
  t= 20  public_denial          :A6
  t= 20  public_denial          :A8
  t= 20  public_denial          :A10
  t= 21  public_denial          :A4
  t= 21  public_denial          :A6
  t= 21  public_denial          :A8
  t= 21  public_denial          :A10
  t= 22  public_denial          :A5
  t= 22  public_denial          :A7
  t= 22  public_denial          :A10
  t= 23  public_denial          :A7
  t= 23  public_denial          :A10
  t= 24  public_denial          :A4
  t= 24  public_denial          :A7
  t= 24  public_denial          :A10
  t= 25  public_denial          :A6
  t= 25  public_denial          :A7
  t= 25  public_denial          :A8
  t= 25  public_denial          :A10
  t= 26  public_denial          :A6
  t= 27  public_denial          :A7
  t= 27  public_denial          :A10
  t= 28  public_denial          :A5
  t= 28  public_denial          :A7
  t= 28  public_denial          :A10
  t= 29  public_denial          :A5
  t= 29  public_denial          :A7
  t= 30  public_denial          :A4
  t= 30  public_denial          :A10
  t= 31  public_denial          :A4
  t= 32  public_denial          :A4
  t= 32  public_denial          :A5
  t= 32  public_denial          :A7
  t= 33  public_denial          :A4
  t= 33  public_confession      :A5
  t= 33  forgiveness_emitted    :A5
  t= 33  public_denial          :A7
  t= 33  public_denial          :A10
  t= 34  public_denial          :A5
  t= 34  public_confession      :A6
  t= 34  forgiveness_emitted    :A6
  t= 34  public_confession      :A7
  t= 34  forgiveness_emitted    :A7
  t= 34  visible_grief          :A8
  t= 34  public_denial          :A10
  t= 35  public_confession      :A4
  t= 35  forgiveness_emitted    :A4
  t= 35  public_confession      :A8
  t= 35  forgiveness_emitted    :A8
  t= 35  public_denial          :A10
  t= 36  public_denial          :A6
  t= 36  public_denial          :A7
  t= 36  public_denial          :A8
  t= 37  public_denial          :A4
  t= 37  visible_grief          :A6
  t= 37  visible_grief          :A8
  t= 38  public_confession      :A6
  t= 38  forgiveness_emitted    :A6
  t= 38  visible_grief          :A7
  t= 38  public_denial          :A8
  t= 39  public_confession      :A5
  t= 39  forgiveness_emitted    :A5
  t= 39  visible_grief          :A6
  t= 39  public_confession      :A7
  t= 39  forgiveness_emitted    :A7
  t= 39  public_confession      :A8
  t= 39  forgiveness_emitted    :A8
  t= 40  public_confession      :A6
  t= 40  forgiveness_emitted    :A6
  t= 40  public_confession      :A7
  t= 40  forgiveness_emitted    :A7
  t= 40  public_denial          :A10
  t= 41  public_denial          :A4
  t= 41  public_confession      :A5
  t= 41  forgiveness_emitted    :A5
  t= 41  public_denial          :A7
  t= 42  public_denial          :A5
  t= 42  public_confession      :A6
  t= 42  forgiveness_emitted    :A6
  t= 42  public_denial          :A7
  t= 42  public_denial          :A8
  t= 43  public_denial          :A4
  t= 43  public_denial          :A7
  t= 43  public_denial          :A8
  t= 43  public_denial          :A10
  t= 44  public_confession      :A6
  t= 44  forgiveness_emitted    :A6
  t= 45  public_denial          :A6
  t= 45  visible_grief          :A7
  t= 45  public_denial          :A10
  t= 46  public_denial          :A4
  t= 46  public_confession      :A5
  t= 46  forgiveness_emitted    :A5
  t= 46  public_denial          :A6
  t= 46  public_denial          :A7
  t= 46  visible_grief          :A8
  t= 46  public_denial          :A10
  t= 47  visible_grief          :A5
  t= 47  visible_grief          :A6
  t= 47  public_denial          :A7
  t= 48  public_confession      :A4
  t= 48  forgiveness_emitted    :A4
  t= 48  visible_grief          :A5
  t= 48  public_denial          :A6
  t= 48  visible_grief          :A8
  t= 49  public_denial          :A4
  t= 49  public_confession      :A5
  t= 49  forgiveness_emitted    :A5
  t= 49  visible_grief          :A7
  t= 49  public_confession      :A8
  t= 49  forgiveness_emitted    :A8
  t= 49  public_denial          :A10
  t= 50  public_denial          :A5
  t= 50  public_confession      :A6
  t= 50  forgiveness_emitted    :A6
  t= 50  visible_grief          :A8
  t= 51  public_confession      :A5
  t= 51  forgiveness_emitted    :A5
  t= 51  public_confession      :A7
  t= 51  forgiveness_emitted    :A7
  t= 52  public_denial          :A4
  t= 52  public_confession      :A5
  t= 52  forgiveness_emitted    :A5
  t= 52  visible_grief          :A7
  t= 52  public_confession      :A8
  t= 52  forgiveness_emitted    :A8
  t= 52  public_denial          :A10
  t= 53  visible_grief          :A6
  t= 53  visible_grief          :A7
  t= 53  public_confession      :A8
  t= 53  forgiveness_emitted    :A8
  t= 53  public_denial          :A10
  t= 54  visible_grief          :A5
  t= 54  public_denial          :A6
  t= 54  public_confession      :A7
  t= 54  forgiveness_emitted    :A7
  t= 54  public_denial          :A8
  t= 55  public_denial          :A5
  t= 55  public_denial          :A6
  t= 55  public_confession      :A7
  t= 55  forgiveness_emitted    :A7
  t= 56  public_denial          :A4
  t= 56  public_denial          :A5
  t= 56  visible_grief          :A6
  t= 56  public_confession      :A7
  t= 56  forgiveness_emitted    :A7
  t= 56  public_denial          :A8
  t= 56  public_denial          :A10
  t= 57  public_denial          :A4
  t= 57  public_confession      :A5
  t= 57  forgiveness_emitted    :A5
  t= 57  public_confession      :A7
  t= 57  forgiveness_emitted    :A7
  t= 57  visible_grief          :A8
  t= 57  public_denial          :A10
  t= 58  public_confession      :A5
  t= 58  forgiveness_emitted    :A5
  t= 58  public_confession      :A6
  t= 58  forgiveness_emitted    :A6
  t= 58  public_confession      :A7
  t= 58  forgiveness_emitted    :A7
  t= 58  public_confession      :A8
  t= 58  forgiveness_emitted    :A8
  t= 58  public_denial          :A10
  t= 59  public_denial          :A4
  t= 59  visible_grief          :A5
  t= 59  public_confession      :A6
  t= 59  forgiveness_emitted    :A6
  t= 59  public_confession      :A8
  t= 59  forgiveness_emitted    :A8
  t= 60  public_denial          :A4
  t= 60  public_confession      :A5
  t= 60  forgiveness_emitted    :A5
  t= 60  public_denial          :A6
  t= 60  visible_grief          :A7
  t= 60  visible_grief          :A8
  t= 60  public_denial          :A10
  t= 61  public_confession      :A4
  t= 61  forgiveness_emitted    :A4
  t= 61  public_confession      :A5
  t= 61  forgiveness_emitted    :A5
  t= 61  public_denial          :A10
  t= 62  public_confession      :A5
  t= 62  forgiveness_emitted    :A5
  t= 62  public_confession      :A7
  t= 62  forgiveness_emitted    :A7
  t= 62  public_denial          :A8
  t= 62  public_denial          :A10
  t= 63  public_denial          :A4
  t= 63  public_confession      :A5
  t= 63  forgiveness_emitted    :A5
  t= 63  public_confession      :A7
  t= 63  forgiveness_emitted    :A7
  t= 63  public_denial          :A8
  t= 64  public_confession      :A5
  t= 64  forgiveness_emitted    :A5
  t= 64  visible_grief          :A6
  t= 64  public_denial          :A7
  t= 64  visible_grief          :A8
  t= 65  public_denial          :A5
  t= 65  public_confession      :A6
  t= 65  forgiveness_emitted    :A6
  t= 65  visible_grief          :A7
  t= 65  public_confession      :A8
  t= 65  forgiveness_emitted    :A8
  t= 66  public_confession      :A5
  t= 66  forgiveness_emitted    :A5
  t= 66  public_denial          :A6
  t= 66  public_confession      :A7
  t= 66  forgiveness_emitted    :A7
  t= 66  public_denial          :A10
  t= 67  public_confession      :A7
  t= 67  forgiveness_emitted    :A7
  t= 67  public_denial          :A8
  t= 68  public_denial          :A4
  t= 68  visible_grief          :A5
  t= 68  public_denial          :A6
  t= 68  visible_grief          :A8
  t= 68  public_denial          :A10
  t= 69  public_denial          :A6
  t= 69  public_denial          :A8
  t= 70  visible_grief          :A5
  t= 70  visible_grief          :A6
  t= 70  public_confession      :A7
  t= 70  forgiveness_emitted    :A7
  t= 70  public_denial          :A8
  t= 70  public_denial          :A10
  t= 71  public_denial          :A5
  t= 71  public_denial          :A6
  t= 71  public_confession      :A7
  t= 71  forgiveness_emitted    :A7
  t= 71  public_denial          :A10
  t= 72  public_confession      :A5
  t= 72  forgiveness_emitted    :A5
  t= 72  public_denial          :A7
  t= 72  visible_grief          :A8
  t= 73  public_confession      :A4
  t= 73  forgiveness_emitted    :A4
  t= 73  public_denial          :A5
  t= 73  visible_grief          :A6
  t= 73  public_confession      :A7
  t= 73  forgiveness_emitted    :A7
  t= 73  visible_grief          :A8
  t= 74  public_confession      :A5
  t= 74  forgiveness_emitted    :A5
  t= 74  visible_grief          :A6
  t= 74  visible_grief          :A7
  t= 74  visible_grief          :A8
  t= 74  public_denial          :A10
  t= 75  public_denial          :A5
  t= 75  visible_grief          :A6
  t= 75  public_confession      :A7
  t= 75  forgiveness_emitted    :A7
  t= 75  public_confession      :A8
  t= 75  forgiveness_emitted    :A8
  t= 75  public_denial          :A10
  t= 76  public_denial          :A5
  t= 76  public_denial          :A7
  t= 76  public_denial          :A8
  t= 78  public_confession      :A7
  t= 78  forgiveness_emitted    :A7
  t= 78  visible_grief          :A8
  t= 79  public_denial          :A4
  t= 79  public_denial          :A5
  t= 79  visible_grief          :A7
  t= 79  visible_grief          :A8
  t= 80  public_denial          :A4
  t= 80  public_denial          :A5
  t= 80  public_confession      :A6
  t= 80  forgiveness_emitted    :A6
  t= 80  visible_grief          :A7
  t= 80  public_confession      :A8
