=== PROBE P2 ===

Agents: A1=merchant, A2=family, A3=laborer, A4=laborer, A5=laborer, A6=authority, A7=enforcer, A8=enforcer, A9=crowd, A10=crowd
Locations: L1, L2

--- Event log (selected ticks) ---
  t=  3  public_denial          :A5
  t=  5  public_accusation      L1
  t=  5  public_denial          :A5
  t=  5  public_denial          :A9
  t=  6  public_denial          :A5
  t=  6  public_denial          :A9
  t=  7  public_denial          :A3
  t=  7  public_denial          :A5
  t=  7  public_denial          :A9
  t=  8  public_denial          :A5
  t=  8  public_denial          :A8
  t=  9  public_denial          :A3
  t=  9  public_denial          :A8
  t=  9  public_denial          :A9
  t= 10  public_denial          :A5
  t= 11  public_denial          :A5
  t= 11  public_denial          :A8
  t= 14  public_denial          :A3
  t= 14  public_denial          :A5
  t= 14  public_denial          :A8
  t= 14  public_denial          :A9
  t= 15  guard_approaches       L1
  t= 15  public_denial          :A5
  t= 15  public_denial          :A8
  t= 15  public_denial          :A9
  t= 16  public_denial          :A3
  t= 16  public_denial          :A5
  t= 16  public_denial          :A9
  t= 16  visible_grief          :A11
  t= 17  public_denial          :A8
  t= 17  public_denial          :A9
  t= 18  public_denial          :A3
  t= 18  public_confession      :A5
  t= 18  forgiveness_emitted    :A5
  t= 19  public_confession      :A2
  t= 19  forgiveness_emitted    :A2
  t= 19  public_confession      :A3
  t= 19  forgiveness_emitted    :A3
  t= 19  public_denial          :A5
  t= 19  public_confession      :A8
  t= 19  forgiveness_emitted    :A8
  t= 19  public_denial          :A9
  t= 20  public_denial          :A3
  t= 20  public_denial          :A9
  t= 20  public_confession      :A10
  t= 20  forgiveness_emitted    :A10
  t= 21  public_confession      :A3
  t= 21  forgiveness_emitted    :A3
  t= 21  public_denial          :A5
  t= 21  visible_grief          :A8
  t= 21  public_denial          :A9
  t= 22  public_denial          :A3
  t= 22  public_confession      :A5
  t= 22  forgiveness_emitted    :A5
  t= 23  public_confession      :A8
  t= 23  forgiveness_emitted    :A8
  t= 24  public_confession      :A5
  t= 24  forgiveness_emitted    :A5
  t= 24  public_denial          :A8
  t= 24  public_confession      :A9
  t= 24  forgiveness_emitted    :A9
  t= 25  public_confession      :A9
  t= 25  forgiveness_emitted    :A9
  t= 26  public_confession      :A3
  t= 26  forgiveness_emitted    :A3
  t= 26  public_denial          :A9
  t= 27  public_denial          :A9
  t= 29  public_confession      :A9
  t= 29  forgiveness_emitted    :A9
  t= 30  public_confession      :A3
  t= 30  forgiveness_emitted    :A3
  t= 30  public_confession      :A4
  t= 30  forgiveness_emitted    :A4
  t= 30  public_confession      :A5
  t= 30  forgiveness_emitted    :A5
  t= 31  public_confession      :A8
  t= 31  forgiveness_emitted    :A8
  t= 31  public_confession      :A9
  t= 31  forgiveness_emitted    :A9
  t= 32  public_confession      :A2
  t= 32  forgiveness_emitted    :A2
  t= 32  public_denial          :A8
  t= 33  visible_grief          :A3
  t= 33  visible_grief          :A11
  t= 34  public_confession      :A8
  t= 34  forgiveness_emitted    :A8
  t= 35  public_confession      :A4
  t= 35  forgiveness_emitted    :A4
  t= 35  public_confession      :A8
  t= 35  forgiveness_emitted    :A8
  t= 35  public_confession      :A9
  t= 35  forgiveness_emitted    :A9
  t= 36  public_confession      :A3
  t= 36  forgiveness_emitted    :A3
  t= 36  visible_grief          :A8
  t= 36  visible_grief          :A11
  t= 38  visible_grief          :A3
  t= 38  public_confession      :A9
  t= 38  forgiveness_emitted    :A9
  t= 39  public_confession      :A3
  t= 39  forgiveness_emitted    :A3
  t= 39  public_confession      :A8
  t= 39  forgiveness_emitted    :A8
  t= 39  visible_grief          :A11
  t= 41  public_confession      :A2
  t= 41  forgiveness_emitted    :A2
  t= 41  public_confession      :A8
  t= 41  forgiveness_emitted    :A8
  t= 42  public_confession      :A8
  t= 42  forgiveness_emitted    :A8
  t= 43  public_confession      :A3
  t= 43  forgiveness_emitted    :A3
  t= 43  public_confession      :A4
  t= 43  forgiveness_emitted    :A4
  t= 43  public_confession      :A5
  t= 43  forgiveness_emitted    :A5
  t= 43  public_confession      :A8
  t= 43  forgiveness_emitted    :A8
  t= 44  public_confession      :A3
  t= 44  forgiveness_emitted    :A3
  t= 44  public_confession      :A8
  t= 44  forgiveness_emitted    :A8
  t= 44  visible_grief          :A9
  t= 45  public_confession      :A3
  t= 45  forgiveness_emitted    :A3
  t= 45  visible_grief          :A8
  t= 45  visible_grief          :A10
  t= 46  visible_grief          :A3
  t= 48  public_confession      :A10
  t= 48  forgiveness_emitted    :A10
  t= 48  public_confession      :A11
  t= 48  forgiveness_emitted    :A11
  t= 49  visible_grief          :A3
  t= 49  public_confession      :A8
  t= 49  forgiveness_emitted    :A8
  t= 50  public_confession      :A2
  t= 50  forgiveness_emitted    :A2
  t= 50  visible_grief          :A4
  t= 50  visible_grief          :A5
  t= 50  public_confession      :A8
  t= 50  forgiveness_emitted    :A8
  t= 50  public_confession      :A9
  t= 50  forgiveness_emitted    :A9
  t= 51  public_confession      :A3
  t= 51  forgiveness_emitted    :A3
  t= 52  visible_grief          :A3
  t= 54  public_confession      :A3
  t= 54  forgiveness_emitted    :A3
  t= 55  public_confession      :A8
  t= 55  forgiveness_emitted    :A8
  t= 56  public_confession      :A3
  t= 56  forgiveness_emitted    :A3
  t= 57  visible_grief          :A3
  t= 59  public_confession      :A8
  t= 59  forgiveness_emitted    :A8
  t= 59  public_confession      :A9
  t= 59  forgiveness_emitted    :A9
  t= 60  public_confession      :A2
  t= 60  forgiveness_emitted    :A2
  t= 60  public_confession      :A3
  t= 60  forgiveness_emitted    :A3
  t= 60  public_confession      :A4
  t= 60  forgiveness_emitted    :A4
  t= 60  public_confession      :A9
  t= 60  forgiveness_emitted    :A9
  t= 61  public_confession      :A9
  t= 61  forgiveness_emitted    :A9
  t= 62  visible_grief          :A9
  t= 63  public_confession      :A9
  t= 63  forgiveness_emitted    :A9
  t= 63  visible_grief          :A11
  t= 64  public_confession      :A3
  t= 64  forgiveness_emitted    :A3
  t= 64  visible_grief          :A5
  t= 64  public_confession      :A11
  t= 64  forgiveness_emitted    :A11
  t= 65  public_confession      :A3
  t= 65  forgiveness_emitted    :A3
  t= 65  visible_grief          :A9
  t= 66  visible_grief          :A3
  t= 67  public_confession      :A3
  t= 67  forgiveness_emitted    :A3
  t= 67  visible_grief          :A8
  t= 68  public_confession      :A3
  t= 68  forgiveness_emitted    :A3
  t= 69  public_confession      :A3
  t= 69  forgiveness_emitted    :A3
  t= 70  public_confession      :A3
  t= 70  forgiveness_emitted    :A3
  t= 71  public_confession      :A2
  t= 71  forgiveness_emitted    :A2
  t= 71  public_confession      :A3
  t= 71  forgiveness_emitted    :A3
  t= 71  public_confession      :A8
  t= 71  forgiveness_emitted    :A8
  t= 71  public_confession      :A9
  t= 71  forgiveness_emitted    :A9
  t= 73  public_confession      :A8
  t= 73  forgiveness_emitted    :A8
  t= 74  visible_grief          :A3
  t= 76  public_confession      :A5
  t= 76  forgiveness_emitted    :A5
  t= 76  public_confession      :A9
  t= 76  forgiveness_emitted    :A9
  t= 76  public_confession      :A11
  t= 76  forgiveness_emitted    :A11
  t= 77  public_confession      :A9
  t= 77  forgiveness_emitted    :A9
  t= 78  public_confession      :A2
  t= 78  forgiveness_emitted    :A2
  t= 78  visible_grief          :A3
  t= 79  public_confession      :A8
  t= 79  forgiveness_emitted    :A8
  t= 80  public_confession      :A8
  t= 80  forgiveness_emitted    :A8
  t= 80  visible_grief          :A9
  t= 81  visible_grief          :A9
  t= 82  visible_grief          :A8
  t= 82  public_confession      :A9
  t= 82  forgiveness_emitted    :A9
  t= 83  public_confession      :A3
  t= 83  forgiveness_emitted    :A3
  t= 83  public_confession      :A8
  t= 83  forgiveness_emitted    :A8
  t= 84  public_confession      :A8
  t= 84  forgiveness_emitted    :A8
  t= 86  visible_grief          :A8
  t= 87  visible_grief          :A3
  t= 87  public_confession      :A9
  t= 87  forgiveness_emitted    :A9
  t= 88  public_confession      :A3
  t= 88  forgiveness_emitted    :A3
  t= 88  visible_grief          :A4
