=== PROBE P8 ===

Agents: A1=follower, A2=follower, A3=follower, A4=authority, A5=enforcer, A6=crowd, A7=crowd, A8=crowd, A9=family, A10=outsider
Locations: L1, L2

--- Event log (selected ticks) ---
  t=186  public_denial          :A5
  t=186  public_denial          :A10
  t=187  public_denial          :A4
  t=188  public_denial          :A5
  t=190  public_denial          :A5
  t=190  public_denial          :A7
  t=190  public_denial          :A10
  t=192  public_denial          :A5
  t=193  public_denial          :A7
  t=194  public_denial          :A10
  t=195  visible_grief          :A4
  t=195  public_denial          :A8
  t=195  public_denial          :A10
  t=196  public_confession      :A4
  t=196  forgiveness_emitted    :A4
  t=196  public_denial          :A5
  t=196  public_denial          :A8
  t=197  visible_grief          :A5
  t=197  visible_grief          :A7
  t=198  visible_grief          :A5
  t=198  visible_grief          :A6
  t=198  public_denial          :A10
  t=199  public_denial          :A5
  t=199  public_confession      :A6
  t=199  forgiveness_emitted    :A6
  t=199  public_denial          :A7
  t=199  public_confession      :A8
  t=199  forgiveness_emitted    :A8
  t=200  visible_grief          :A6

--- State snapshot at t=50 ---
  A1: sha=0.5 fea=0.5 gri=2.2
  A2: sha=0.5 gri=1.4
  A3: sha=0.5 gri=2.2
  A4: sha=3.4 gui=8.3 fea=10.0 gri=1.5
  A5: sha=0.2 gui=5.0 fea=9.8 gri=2.5
  A6: gri=2.4
  A7: gri=1.3
  A8: gri=1.9
  A9: sha=0.5 gri=1.5
  A10: sha=10.0 gui=10.0 fea=10.0 gri=4.7
  (crowd)
  L1: shame_climate=0.0 align=0.0
  L2: shame_climate=0.1 align=0.0 blame[outsider]=0.4

--- State snapshot at t=100 ---
  A1: sha=0.5 gri=2.6
  A2: sha=0.5 gri=1.8
  A3: sha=0.5 gri=3.0
  A4: sha=9.2 gui=10.0 fea=10.0 gri=1.9
  A5: sha=9.2 gui=10.0 fea=10.0 gri=3.3
  A6: sha=4.2 gui=8.0 fea=3.1 gri=2.8
  A7: sha=4.2 gui=9.0 fea=3.0 gri=1.5
  A8: sha=4.1 gui=7.0 fea=3.0 gri=2.3
  A9: sha=0.5 gri=1.9
  A10: sha=10.0 gui=10.0 fea=10.0 gri=6.2
  (crowd)
  L1: shame_climate=1.0 align=0.0 blame[authority_priest]=0.1
  L2: shame_climate=1.0 align=0.6 blame[crowd_participant]=1.0

--- State snapshot at t=150 ---
  A1: sha=0.5 gri=3.0
  A2: sha=0.5 gri=1.8
  A3: sha=0.5 gri=5.6
  A4: sha=3.4 gui=9.4 fea=10.0 gri=2.2
  A5: sha=3.2 gui=1.0 fea=10.0 gri=4.1
  A6: sha=0.4 gui=2.0 fea=0.2 gri=3.6
  A7: sha=0.4 gui=2.0 fea=0.2 gri=1.7
  A8: sha=0.4 gui=1.0 fea=0.2 gri=2.3
  A9: sha=0.5 gri=2.7
  A10: sha=10.0 gui=10.0 fea=10.0 gri=7.4
  (crowd)
  L1: shame_climate=0.3 align=0.1
  L2: shame_climate=1.0 align=0.2 blame[crowd_participant]=0.3

--- State snapshot at t=200 ---
  A1: sha=0.5 gri=5.1
  A2: sha=0.5 gri=2.2
  A3: sha=0.5 gri=9.2
  A4: sha=6.2 gui=8.0 fea=10.0 gri=3.1
  A5: sha=10.0 gui=10.0 fea=10.0 gri=5.8
  A6: sha=0.2 fea=0.1 gri=5.8
  A7: sha=0.2 gui=3.2 fea=0.1 gri=2.3
  A8: sha=0.2 gui=0.7 fea=0.1 gri=2.4
  A9: sha=0.5 gri=3.1
  A10: sha=10.0 gui=10.0 fea=10.0 gri=8.8
  (crowd)
  L1: shame_climate=0.3 align=0.1 blame[soldier_enforcer]=0.0
  L2: shame_climate=0.4 align=0.0 blame[outsider]=0.0
